Assembly	assembly
# misassemblies	6
  # contig misassemblies	6
    # c. relocations	6
    # c. translocations	0
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	1
Misassembled contigs length	4640229
# local misassemblies	2
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	64
# indels	479
    # indels (<= 5 bp)	477
    # indels (> 5 bp)	2
Indels length	519
